lote_lote,lote_proprietario,lote_al,lote_ano,lote_alienacaoAutorizada,lote_quantidadeFoto,lote_localArmazenamento,lote_isaSipa,lote_dataSipa,lote_tipoVenda,lote_isaEnvioArm,lote_dataEnvoArm,lote_gerencia_id,lote_leilao_id,lote_responsavel_id,lote_vmaLote
212390001,Petrobras,11,2021,Autorizada,0,MACAE - RJ,PBR-2021-0041263,2021-07-09,Sucateamento,,,3,,,8836.749625
212390002,Petrobras,11,2021,Autorizada,0,MACAE - RJ,PBR-2021-0041263,2021-07-09,Sucateamento,,,3,,,2634.4398278
212390003,Petrobras,11,2021,Autorizada,0,MACAE - RJ,PBR-2021-0041263,2021-07-09,Vendido,,,3,11,9,28888.386972
212390004,Petrobras,11,2021,Autorizada,0,MACAE - RJ,PBR-2021-0041263,2021-07-09,Sucateamento,,,3,,,1213.3762
212390005,Petrobras,11,2021,Autorizada,0,MACAE - RJ,PBR-2021-0041263,2021-07-09,Sucateamento,,,3,,,396.4132245
212390006,Petrobras,13,2021,Autorizada,0,MACAE - RJ,PBR-2021-0041263,2021-07-09,Sucateamento,,,3,,,119.1327407
212390007,Petrobras,1,2021,Autorizada,0,MACAE - RJ,PBR-2021-0041263,2021-07-09,Vendido,,,3,11,6,22760.23297
212390008,Petrobras,1,2021,Autorizada,0,MACAE - RJ,PBR-2021-0041263,2021-07-09,Vendido,,,3,11,5,12495.681452
212390009,Petrobras,1,2021,Autorizada,0,MACAE - RJ,PBR-2021-0041263,2021-07-09,Vendido,,,3,11,6,8741.825806
212390010,Petrobras,17,2021,Autorizada,0,MACAE - RJ,PBR-2021-0041263,2021-07-09,Sucateamento,,,3,11,,11522.2872
212390011,Petrobras,17,2021,Autorizada,0,MACAE - RJ,PBR-2021-0041263,2021-07-09,Sucateamento,,,3,,,13694.578492
212390012,Petrobras,17,2021,Autorizada,0,MACAE - RJ,PBR-2021-0041263,2021-07-09,Sucateamento,,,3,,,1517.854285
212390013,Petrobras,17,2021,Autorizada,0,MACAE - RJ,PBR-2021-0041263,2021-07-09,Sucateamento,,,3,,,2234.678576
212390014,Petrobras,17,2021,Autorizada,0,MACAE - RJ,PBR-2021-0041263,2021-07-09,Sucateamento,,,3,,,2760.843676
212390015,Petrobras,18,2021,Autorizada,0,MACAE - RJ,PBR-2021-0041263,2021-07-09,Sucateamento,,,3,,,993.7662067
