lote_lote,lote_proprietario,lote_al,lote_ano,lote_alienacaoAutorizada,lote_quantidadeFoto,lote_localArmazenamento,lote_isaSipa,lote_dataSipa,lote_tipoVenda,lote_isaEnvioArm,lote_dataEnvoArm,lote_gerencia_id,lote_leilao_id,lote_responsavel_id,lote_vmaLote
194723-A,,AL-02,2019,Autorizada,0,RIO DE JANEIRO - RJ,,,,,,17,,,
212340002,Petrobras,26,2021,Autorizada,0,RIO DE JANEIRO - RJ,PBR-2021-0041263,2021-07-09,Sucateamento,,,3,,,771.8885761
212340003,Petrobras,4,2021,Autorizada,0,RIO DE JANEIRO - RJ,PBR-2021-0041263,2021-07-09,Sucateamento,,,3,,,5847.202489
212340004,Petrobras,91,2021,Autorizada,0,RIO DE JANEIRO - RJ,PBR-2021-0041263,2021-07-09,Sucateamento,,,3,,,17185.75707
212340005,Petrobras,91,2021,Autorizada,0,RIO DE JANEIRO - RJ,PBR-2021-0041263,2021-07-09,Sucateamento,,,3,,,852.0662465
212340006,Petrobras,9,2021,Autorizada,0,RIO DE JANEIRO - RJ,PBR-2021-0041263,2021-07-09,Sucateamento,,,3,,,62906.540144
211140001,Petrobras,AL-01,2021,Autorizada,0,RIO DE JANEIRO - RJ,PBR-2021-0041421,2021-07-15,Vendido,,,17,12,4,98489.477466
211140002,Petrobras,1,2021,Autorizada,0,RIO DE JANEIRO - RJ,PBR-2021-0041421,2021-07-15,Sucateamento,,,17,,,7309.606701
211140003,Petrobras,AL-02,2021,Autorizada,0,RIO DE JANEIRO - RJ,PBR-2021-0041421,2021-07-15,Vendido,,,17,12,4,18461.151285593
211140004,Petrobras,2,2021,Autorizada,0,RIO DE JANEIRO - RJ,PBR-2021-0041421,2021-07-15,LEILÃO,,,17,,,3899.221134
211140005,Petrobras,2,2021,Autorizada,0,RIO DE JANEIRO - RJ,PBR-2021-0041421,2021-07-15,Sucateamento,,,17,,,1338.03283
211640001,Petrobras,1,2021,Autorizada,0,RIO DE JANEIRO - RJ,PBR-2021-0041431 ,2021-07-14,Sucateamento,,,10,,,23.05720496
211640002,Petrobras,AL-01,2021,Autorizada,0,RIO DE JANEIRO - RJ,PBR-2021-0041431,2021-07-14,Vendido,,,10,13,,66335.4983151
211640003,Petrobras,1,2021,Autorizada,0,RIO DE JANEIRO - RJ,PBR-2021-0041431 ,2021-07-14,Sucateamento,,,10,,,3683.85502
211640004,Petrobras,2,2021,Autorizada,0,RIO DE JANEIRO - RJ,PBR-2021-0041431 ,2021-07-14,Sucateamento,,,10,,,61906.84936
211640005,Petrobras,2,2021,Autorizada,0,RIO DE JANEIRO - RJ,PBR-2021-0041431 ,2021-07-14,Sucateamento,,,10,,,83915.72303
211640006,Petrobras,AL-02,2021,Autorizada,0,RIO DE JANEIRO - RJ,PBR-2021-0041431,2021-07-14,Vendido,,,10,13,,251581.783737
211640007,Petrobras,AL-02,2021,Autorizada,0,RIO DE JANEIRO - RJ,PBR-2021-0041431,2021-07-14,Vendido,,,10,13,,475851.59026833
211640008,Petrobras,AL-02,2021,Autorizada,0,RIO DE JANEIRO - RJ,PBR-2021-0041431,2021-07-14,Vendido,,,10,13,,5095.795434
211840001,Petrobras,1,2021,Autorizada,0,RIO DE JANEIRO - RJ,PBR-2021-0041431 ,2021-07-14,Sucateamento,,,11,,,3064.36176818
211840002,Petrobras,1,2021,Autorizada,0,RIO DE JANEIRO - RJ,PBR-2021-0041431 ,2021-07-14,LEILÃO,,,11,,,148551.898201582
211840003,Petrobras,1,2021,Autorizada,0,RIO DE JANEIRO - RJ,PBR-2021-0041431 ,2021-07-14,Sucateamento,,,11,,,2939.099557
211840004,Petrobras,1,2021,Autorizada,0,RIO DE JANEIRO - RJ,PBR-2021-0041431 ,2021-07-14,Sucateamento,,,11,,,386.6183601
211840005,Petrobras,AL-01,2021,Autorizada,0,RIO DE JANEIRO - RJ,PBR-2021-0041431,2021-07-14,Vendido,,,11,13,,13176.39964637
