lote_lote,lote_proprietario,lote_al,lote_ano,lote_alienacaoAutorizada,lote_quantidadeFoto,lote_localArmazenamento,lote_isaSipa,lote_dataSipa,lote_tipoVenda,lote_isaEnvioArm,lote_dataEnvoArm,lote_gerencia_id,lote_leilao_id,lote_responsavel_id,lote_vmaLote
190002-A,,AL-02,2019,Autorizada,0,Rio de Janeiro - RJ,,,,,,16,,,
190009-A,,AL-02,2019,Autorizada,0,Rio de Janeiro - RJ,,,,,,17,,,
190227-C,,AL-02,2019,Autorizada,0,Rio de Janeiro - RJ,,,,,,20,,,
190227-B,,AL-02,2019,Autorizada,0,Rio de Janeiro - RJ,,,,,,20,,,
190227-A,,AL-02,2019,Autorizada,0,Rio de Janeiro - RJ,,,,,,20,,,
190263-A,,AL-01,2019,Autorizada,0,Rio de Janeiro - RJ,,,,,,11,,,
190585-A,,AL-01,2019,Autorizada,0,Rio de Janeiro - RJ,,,,,,20,,,
190618-A,,AL-02,2019,Autorizada,0,Rio de Janeiro - RJ,,,,,,17,,,
190627-A,,AL-01,2019,Autorizada,0,Rio de Janeiro - RJ,,,,,,17,,,
190772-A,,AL-01,2019,Autorizada,0,Rio de Janeiro - RJ,,,,,,17,,,
190915-A,,AL-01,2019,Autorizada,0,Rio de Janeiro - RJ,,,,,,20,,,
190994-A,,AL-01,2019,Autorizada,0,Rio de Janeiro - RJ,,,,,,20,,,
191185-A,,AL-01,2019,Autorizada,0,Rio de Janeiro - RJ,,,,,,11,,,
191405-A,,AL-01,2019,Autorizada,0,Rio de Janeiro - RJ,,,,,,20,,,
190015.1-ES-C,,AL-18,2019,Autorizada,0,Rio de Janeiro - RJ,,,,,,23,,,
190175.1-ES-C,,AL-18,2019,Autorizada,0,Rio de Janeiro - RJ,,,,,,23,,,
190200.1-A,,AL-01,2019,Autorizada,0,Rio de Janeiro - RJ,,,,,,17,,,
190203-ES-A,,AL-19,2019,Não Autorizado,0,Rio de Janeiro - RJ,,,,,,23,,,
190826.1-ES-B,,AL-03,2019,Autorizada,0,Rio de Janeiro - RJ,,,,,,23,,,
194210-C,,AL-02,2019,Autorizada,0,Rio de Janeiro - RJ,,,,,,12,,,
194506-C,,AL-01,2019,Autorizada,0,Rio de Janeiro - RJ,,,,,,17,,,
194066-C,,AL-01,2019,Autorizada,0,Rio de Janeiro - RJ,,,,,,17,,,
194506.2-C,,AL-01,2019,Não Autorizado,0,Rio de Janeiro - RJ,,,,,,17,,,
194513-C,,AL-01,2019,Autorizada,0,Rio de Janeiro - RJ,,,,,,17,,,
192060-C,,AL-01,2019,Autorizada,0,Rio de Janeiro - RJ,,,,,,17,,,
191727-C,,AL-02,2019,Autorizada,0,Rio de Janeiro - RJ,,,,,,11,,,
191714-C,,AL-02,2019,Autorizada,0,Rio de Janeiro - RJ,,,,,,11,,,
191675-C,,AL-01,2019,Autorizada,0,Rio de Janeiro - RJ,,,,,,11,,,
191714-A,,AL-02,2019,Autorizada,0,Rio de Janeiro - RJ,,,,,,11,,,
191675-B,,AL-01,2019,Autorizada,0,Rio de Janeiro - RJ,,,,,,11,,,
194091.2-C,,AL-02,2019,Não Autorizado,0,Rio de Janeiro - RJ,,,,,,11,,,
191675-A,,AL-01,2019,Autorizada,0,Rio de Janeiro - RJ,,,,,,11,,,
194583-C,,AL-01,2019,Autorizada,0,Rio de Janeiro - RJ,,,,,,11,,,
191727-B,,AL-02,2019,Autorizada,0,Rio de Janeiro - RJ,,,,,,11,,,
194697-C,,AL-02,2019,Autorizada,0,Rio de Janeiro - RJ,,,,,,11,,,
194678-C,,AL-01,2019,Autorizada,0,Rio de Janeiro - RJ,,,,,,11,,,
194091-C,,AL-02,2019,Autorizada,0,Rio de Janeiro - RJ,,,,,,11,,,
191727-A,,AL-02,2019,Autorizada,0,Rio de Janeiro - RJ,,,,,,11,,,
191675.2-C,,AL-01,2019,Não Autorizado,0,Rio de Janeiro - RJ,,,,,,11,,,
191756-B,,AL-01,2019,Não Autorizado,0,Rio de Janeiro - RJ,,,,,,11,,,
193420-C,,AL-01,2019,Autorizada,0,Rio de Janeiro - RJ,,,,,,11,,,
194699-C,,AL-02,2019,Autorizada,0,Rio de Janeiro - RJ,,,,,,11,,,
191727.2-C,,AL-02,2019,Não Autorizado,0,Rio de Janeiro - RJ,,,,,,11,,,
191989-RIO-C,,AL-01,2019,Autorizada,0,Rio de Janeiro - RJ,,,,,,24,,,
193516-RIO-C,,AL-01,2019,Autorizada,0,Rio de Janeiro - RJ,,,,,,24,,,
193844-RIO-C,,AL-02,2019,Autorizada,0,Rio de Janeiro - RJ,,,,,,24,,,
194413-RIO-C,,AL-01,2019,Autorizada,0,Rio de Janeiro - RJ,,,,,,24,,,
194451-RIO-C,,AL-02,2019,Autorizada,0,Rio de Janeiro - RJ,,,,,,24,,,
194380-ES-C,,AL-64,2019,Autorizada,0,Rio de Janeiro - RJ,,,,,,23,,,
191833-ES-C,,AL-18,2019,Autorizada,0,Rio de Janeiro - RJ,,,,,,23,,,
194400-ES-C,,AL-25,2019,Autorizada,0,Rio de Janeiro - RJ,,,,,,23,,,
191889-ES-C,,AL-51,2019,Autorizada,0,Rio de Janeiro - RJ,,,,,,23,,,
191486-ES-B,,AL-13,2019,Autorizada,0,Rio de Janeiro - RJ,,,,,,23,,,
191486.2-ES-B,,AL-13,2019,Não Autorizado,0,Rio de Janeiro - RJ,,,,,,23,,,
192340-ES-C,,AL-03,2019,Autorizada,0,Rio de Janeiro - RJ,,,,,,23,,,
192299-ES-C,,AL-64,2019,Autorizada,0,Rio de Janeiro - RJ,,,,,,23,,,
191494-ES-B,,AL-03,2019,Não Autorizado,0,Rio de Janeiro - RJ,,,,,,23,,,
191515-ES-B,,AL-64,2019,Autorizada,0,Rio de Janeiro - RJ,,,,,,23,,,
192472-ES-C,,AL-18,2019,Autorizada,0,Rio de Janeiro - RJ,,,,,,23,,,
192343-ES-B,,AL-03,2019,Não Autorizado,0,Rio de Janeiro - RJ,,,,,,23,,,
192343-ES-C,,AL-03,2019,Autorizada,0,Rio de Janeiro - RJ,,,,,,23,,,
192813-ES-C,,AL-18,2019,Autorizada,0,Rio de Janeiro - RJ,,,,,,23,,,
191521-ES-B,,AL-18,2019,Não Autorizado,0,Rio de Janeiro - RJ,,,,,,23,,,
191985-ES-C,,AL-26,2019,Autorizada,0,Rio de Janeiro - RJ,,,,,,23,,,
191725-ES-C,,AL-03,2019,Autorizada,0,Rio de Janeiro - RJ,,,,,,23,,,
192112-ES-C,,AL-03,2019,Autorizada,0,Rio de Janeiro - RJ,,,,,,23,,,
191990-ES-C,,AL-03,2019,Autorizada,0,Rio de Janeiro - RJ,,,,,,23,,,
193461-ES-C,,AL-51,2019,Autorizada,0,Rio de Janeiro - RJ,,,,,,23,,,
192105-ES-C,,AL-11,2019,Autorizada,0,Rio de Janeiro - RJ,,,,,,23,,,
192137-ES-C,,AL-11,2019,Autorizada,0,Rio de Janeiro - RJ,,,,,,23,,,
193542-ES-C,,AL-03,2019,Autorizada,0,Rio de Janeiro - RJ,,,,,,23,,,
192534-ES-C,,AL-03,2019,Autorizada,0,Rio de Janeiro - RJ,,,,,,23,,,
192510-ES-C,,AL-03,2019,Autorizada,0,Rio de Janeiro - RJ,,,,,,23,,,
193111-ES-C,,AL-26,2019,Autorizada,0,Rio de Janeiro - RJ,,,,,,23,,,
192587-ES-C,,AL-64,2019,Autorizada,0,Rio de Janeiro - RJ,,,,,,23,,,
193248-ES-C,,AL-26,2019,Autorizada,0,Rio de Janeiro - RJ,,,,,,23,,,
192785-ES-C,,AL-26,2019,Autorizada,0,Rio de Janeiro - RJ,,,,,,23,,,
192873-ES-C,,AL-03,2019,Autorizada,0,Rio de Janeiro - RJ,,,,,,23,,,
192748-ES-C,,AL-03,2019,Autorizada,0,Rio de Janeiro - RJ,,,,,,23,,,
192821-ES-C,,AL-03,2019,Autorizada,0,Rio de Janeiro - RJ,,,,,,23,,,
193700-ES-C,,AL-18,2019,Autorizada,0,Rio de Janeiro - RJ,,,,,,23,,,
192838-ES-C,,AL-03,2019,Autorizada,0,Rio de Janeiro - RJ,,,,,,23,,,
193292-ES-C,,AL-26,2019,Autorizada,0,Rio de Janeiro - RJ,,,,,,23,,,
192643-ES-C,,AL-03,2019,Autorizada,0,Rio de Janeiro - RJ,,,,,,23,,,
193799-ES-C,,AL-26,2019,Autorizada,0,Rio de Janeiro - RJ,,,,,,23,,,
194376-ES-C,,AL-03,2019,Autorizada,0,Rio de Janeiro - RJ,,,,,,23,,,
193230-ES-C,,AL-23,2019,Autorizada,0,Rio de Janeiro - RJ,,,,,,23,,,
192386-ES-C,,AL-03,2019,Autorizada,0,Rio de Janeiro - RJ,,,,,,23,,,
191696-ES-C,,AL-03,2019,Autorizada,0,Rio de Janeiro - RJ,,,,,,23,,,
193141-ES-C,,AL-03,2019,Autorizada,0,Rio de Janeiro - RJ,,,,,,23,,,
194398-ES-C,,AL-03,2019,Autorizada,0,Rio de Janeiro - RJ,,,,,,23,,,
192874-ES-C,,AL-03,2019,Autorizada,0,Rio de Janeiro - RJ,,,,,,23,,,
193685-ES-C,,AL-51,2019,Autorizada,0,Rio de Janeiro - RJ,,,,,,23,,,
193540-ES-C,,AL-26,2019,Autorizada,0,Rio de Janeiro - RJ,,,,,,23,,,
193442-ES-C,,AL-03,2019,Autorizada,0,Rio de Janeiro - RJ,,,,,,23,,,
192156-ES-B,,AL-18,2019,Autorizada,0,Rio de Janeiro - RJ,,,,,,23,,,
193242-ES-C,,AL-03,2019,Autorizada,0,Rio de Janeiro - RJ,,,,,,23,,,
192972-ES-C,,AL-26,2019,Autorizada,0,Rio de Janeiro - RJ,,,,,,23,,,
193611-ES-C,,AL-03,2019,Autorizada,0,Rio de Janeiro - RJ,,,,,,23,,,
193258-ES-C,,AL-03,2019,Autorizada,0,Rio de Janeiro - RJ,,,,,,23,,,
193289-ES-C,,AL-26,2019,Autorizada,0,Rio de Janeiro - RJ,,,,,,23,,,
192664-ES-C,,AL-03,2019,Autorizada,0,Rio de Janeiro - RJ,,,,,,23,,,
193668-ES-C,,AL-03,2019,Autorizada,0,Rio de Janeiro - RJ,,,,,,23,,,
193558-ES-C,,AL-26,2019,Autorizada,0,Rio de Janeiro - RJ,,,,,,23,,,
193077-ES-C,,AL-64,2019,Autorizada,0,Rio de Janeiro - RJ,,,,,,23,,,
194274-ES-C,,AL-64,2019,Autorizada,0,Rio de Janeiro - RJ,,,,,,23,,,
193917-ES-C,,AL-26,2019,Autorizada,0,Rio de Janeiro - RJ,,,,,,23,,,
193573-ES-C,,AL-03,2019,Autorizada,0,Rio de Janeiro - RJ,,,,,,23,,,
193732-ES-C,,AL-18,2019,Autorizada,0,Rio de Janeiro - RJ,,,,,,23,,,
194151-ES-C,,AL-11,2019,Autorizada,0,Rio de Janeiro - RJ,,,,,,23,,,
195496-A,,AL-01,2019,Autorizada,0,Rio de Janeiro - RJ,,,,,,10,,,
198150-A1,,AL-01,2019,Autorizada,0,Rio de Janeiro - RJ,,,,,,17,,,
