lote_lote,lote_proprietario,lote_al,lote_ano,lote_alienacaoAutorizada,lote_quantidadeFoto,lote_localArmazenamento,lote_isaSipa,lote_dataSipa,lote_tipoVenda,lote_isaEnvioArm,lote_dataEnvoArm,lote_gerencia_id,lote_leilao_id,lote_responsavel_id,lote_vmaLote
190003-A,,AL-31,2019,Autorizada,0,Macaé - RJ,,,,,,17,,,
190003.3-A,,AL-17,2019,Não Autorizado,0,Macaé - RJ,,,,,,18,,,
190003.2-A,,AL-17,2019,Autorizada,0,Macaé - RJ,,,,,,18,,,
190003-B,,AL-17,2019,Autorizada,0,Macaé - RJ,,,,,,17,,,
190003-C,,AL-17,2019,Autorizada,0,Macaé - RJ,,,,,,17,,,
190004-A,,AL-31,2019,Autorizada,0,Macaé - RJ,,,,,,17,,,
190004-B,,AL-17,2019,Autorizada,0,Macaé - RJ,,,,,,17,,,
190004-C,,AL-17,2019,Autorizada,0,Macaé - RJ,,,,,,19,,,
190005-C,,AL-18,2019,Autorizada,0,Macaé - RJ,,,,,,20,,,
190005-A,,AL-18,2019,Autorizada,0,Macaé - RJ,,,,,,20,,,
190005-B,,AL-18,2019,Autorizada,0,Macaé - RJ,,,,,,20,,,
190005.2-B,,AL-18,2019,Autorizada,0,Macaé - RJ,,,,,,20,,,
190006-A,,AL-17,2019,Autorizada,0,Macaé - RJ,,,,,,19,,,
190006-B,,AL-17,2019,Autorizada,0,Macaé - RJ,,,,,,19,,,
190006.2-B,,AL-17,2019,Autorizada,0,Macaé - RJ,,,,,,17,,,
190006-C,,AL-17,2019,Autorizada,0,Macaé - RJ,,,,,,19,,,
190006.2-C,,AL-17,2019,Autorizada,0,Macaé - RJ,,,,,,17,,,
190007-C,,AL-18,2019,Autorizada,0,Macaé - RJ,,,,,,20,,,
190007-B,,AL-18,2019,Autorizada,0,Macaé - RJ,,,,,,20,,,
190007-A,,AL-18,2019,Autorizada,0,Macaé - RJ,,,,,,20,,,
190008-A,,AL-17,2019,Autorizada,0,Macaé - RJ,,,,,,17,,,
190008.2-A,,AL-17,2019,Autorizada,0,Macaé - RJ,,,,,,18,,,
190008-B,,AL-17,2019,Autorizada,0,Macaé - RJ,,,,,,17,,,
190008.2-B,,AL-17,2019,Autorizada,0,Macaé - RJ,,,,,,18,,,
190008-C,,AL-17,2019,Autorizada,0,Macaé - RJ,,,,,,19,,,
190010-A,,AL-31,2019,Autorizada,0,Macaé - RJ,,,,,,17,,,
190011-A,,AL-31,2019,Autorizada,0,Macaé - RJ,,,,,,17,,,
190012-A,,AL-31,2019,Autorizada,0,Macaé - RJ,,,,,,18,,,
190012.2-A,,AL-31,2019,Não Autorizado,0,Macaé - RJ,,,,,,17,,,
190012-B,,AL-17,2019,Autorizada,0,Macaé - RJ,,,,,,17,,,
190012-C,,AL-17,2019,Autorizada,0,Macaé - RJ,,,,,,17,,,
190013-A,,AL-31,2019,Autorizada,0,Macaé - RJ,,,,,,17,,,
190013.2-A,,AL-17,2019,Não Autorizado,0,Macaé - RJ,,,,,,21,,,
190014-A,,AL-31,2019,Autorizada,0,Macaé - RJ,,,,,,17,,,
190014-B,,AL-17,2019,Autorizada,0,Macaé - RJ,,,,,,17,,,
190014-C,,AL-17,2019,Autorizada,0,Macaé - RJ,,,,,,17,,,
190015-C,,AL-18,2019,Autorizada,0,Macaé - RJ,,,,,,20,,,
190015-B,,AL-18,2019,Autorizada,0,Macaé - RJ,,,,,,20,,,
190016.4-A,,AL-31,2019,Autorizada,0,Macaé - RJ,,,,,,22,,,
190016.2-A,,AL-31,2019,Autorizada,0,Macaé - RJ,,,,,,22,,,
190016-A,,AL-31,2019,Autorizada,0,Macaé - RJ,,,,,,22,,,
190016.3-A,,AL-31,2019,Autorizada,0,Macaé - RJ,,,,,,22,,,
190017-A,,AL-31,2019,Autorizada,0,Macaé - RJ,,,,,,22,,,
190017.2-A,,AL-31,2019,Autorizada,0,Macaé - RJ,,,,,,22,,,
190019-A,,AL-31,2019,Autorizada,0,Macaé - RJ,,,,,,9,,,
190019.3-A,,AL-04,2019,Autorizada,0,Macaé - RJ,,,,,,9,,,
190019.2-A,,AL-04,2019,Autorizada,0,Macaé - RJ,,,,,,9,,,
190019-C,,AL-04,2019,Autorizada,0,Macaé - RJ,,,,,,9,,,
190020-A,,AL-31,2019,Autorizada,0,Macaé - RJ,,,,,,19,,,
190021-C,,AL-23,2019,Autorizada,0,Macaé - RJ,,,,,,9,,,
190022-A,,AL-17,2019,Autorizada,0,Macaé - RJ,,,,,,17,,,
190022-B,,AL-17,2019,Autorizada,0,Macaé - RJ,,,,,,19,,,
190022.2-B,,AL-17,2019,Autorizada,0,Macaé - RJ,,,,,,19,,,
190022-C,,AL-17,2019,Autorizada,0,Macaé - RJ,,,,,,19,,,
190024.2-A,,AL-31,2019,Autorizada,0,Macaé - RJ,,,,,,17,,,
190024-A,,AL-31,2019,Autorizada,0,Macaé - RJ,,,,,,19,,,
190025-A,,AL-17,2019,Autorizada,0,Macaé - RJ,,,,,,19,,,
190025.2-B,,AL-17,2019,Autorizada,0,Macaé - RJ,,,,,,19,,,
190025-B,,AL-17,2019,Autorizada,0,Macaé - RJ,,,,,,17,,,
190025-C,,AL-17,2019,Autorizada,0,Macaé - RJ,,,,,,19,,,
190233-A,,AL-17,2019,Autorizada,0,Macaé - RJ,,,,,,19,,,
190027-C,,AL-18,2019,Autorizada,0,Macaé - RJ,,,,,,20,,,
190027-B,,AL-18,2019,Autorizada,0,Macaé - RJ,,,,,,20,,,
190027-A,,AL-18,2019,Autorizada,0,Macaé - RJ,,,,,,20,,,
190030-A,,AL-31,2019,Autorizada,0,Macaé - RJ,,,,,,18,,,
190030.2-A,,AL-31,2019,Não Autorizado,0,Macaé - RJ,,,,,,17,,,
190030-B,,AL-17,2019,Autorizada,0,Macaé - RJ,,,,,,17,,,
190030-C,,AL-17,2019,Autorizada,0,Macaé - RJ,,,,,,17,,,
190032-A,,AL-31,2019,Autorizada,0,Macaé - RJ,,,,,,17,,,
190032-C,,AL-01,2019,Autorizada,0,Macaé - RJ,,,,,,17,,,
190033-A,,AL-17,2019,Autorizada,0,Macaé - RJ,,,,,,17,,,
190033-B,,AL-17,2019,Autorizada,0,Macaé - RJ,,,,,,17,,,
